'Spanish','Greetings','Hello', 'Buenos días
'Spanish','Greetings','Good evening', 'Buenas tardes
'Spanish','Greetings','Good night', 'Buenas noches
'Spanish','Greetings','Hi', 'Hola
'Spanish','Greetings','How’s it going?', '¿Cómo está? (formal) or ¿Qué tal?, ¿Cómo estás? (informal)
'Spanish','Greetings','Very well, thank you', 'Muy bien, gracias
'Spanish','Greetings','What’s your name?', '¿Cómo te llamas?
'Spanish','Greetings','My name is …', 'Me llamo … 
'Spanish','Greetings','Goodbye', 'Adiós or Chau (informal)
'Spanish','Greetings','See you soon', 'Hasta pronto
'Spanish','Greetings','See you later', 'Hasta luego
'Spanish','Greetings','Yes', 'Sí
'Spanish','Greetings','No', 'No
'Spanish','Greetings','I don’t know', 'No sé
'Spanish','Manners','Please', 'Por favor
'Spanish','Manners','Thank you', 'Gracias 
'Spanish','Manners','You’re welcome / no problem', 'De nada
'Spanish','Manners','Pleased to meet you', 'Mucho gusto
'Spanish','Manners','Excuse me, pardon me', 'Disculpe, Perdón
'Spanish','Manners','Don’t worry about it / it doesn’t matter / no worries', 'No importa, No te preocupes 
'Spanish','Manners','Good luck', 'Buena suerte
'Spanish','Manners','Excuse me please (used to pass someone)', 'Permiso, Con permiso (para pasar) 
'Spanish','Manners','Please sit down', 'Siéntese, por favor (formal), Siéntate, por favor (informal)
'Spanish','Manners','I agree', 'Estoy de acuerdo
'Spanish','Manners','It’s good', 'Está bien, está bueno
'Spanish','Manners','I am very sorry! / I’m so sorry!', '¡Lo siento mucho!
'Spanish','Conversation','I am English / American', 'Soy inglés(a) / americano(a)
'Spanish','Conversation','I don’t understand', 'No entiendo
'Spanish','Conversation','Do you understand me?', '¿Me entiende? (usted, formal address)
'Spanish','Conversation','Is there someone who speaks English here?', '¿Hay alguien que hable inglés?
'Spanish','Conversation','How do you say … in Spanish?', '¿Cómo se dice … en español?
'Spanish','Conversation','What do you call this?', '¿Cómo se llama esto?
'Spanish','Conversation','What does … mean?', '¿Qué significa … ?
'Spanish','Conversation','Could you speak slower, please?', 'Más despacio, por favor
'Spanish','Conversation','I don’t speak Spanish (very well)', 'No hablo (muy bien) español
'Spanish','Conversation','I speak (a bit of) Spanish', 'Hablo un poco de español
'Spanish','Conversation','You misunderstood me', 'No me has entendido bien
'Spanish','Conversation','Could you repeat that please?', '¿Puedes repetirlo, por favor?
'Spanish','Conversation','I’m learning Spanish at the moment', 'Estoy aprendiendo español 
'Spanish','Family','family', 'la familia
'Spanish','Family','parents', 'los padres
'Spanish','Family','mother', 'la madre
'Spanish','Family','father', 'el padre
'Spanish','Family','child', 'el niño or la niña
'Spanish','Family','grandfather', 'el abuelo
'Spanish','Family','grandmother', 'la abuela
'Spanish','Family','daughter', 'la hija
'Spanish','Family','son', 'el hijo
'Spanish','Family','uncle', 'el tío
'Spanish','Family','aunt', 'la tía
'Spanish','Family','stepmother / stepfather', 'la madrastra / el padrastro
'Spanish','Family','mother-in-law / father-in-law', 'la suegra (madre del esposo o de la esposa) / el 'Spanish','Family','suegro (padre del esposo o de la esposa)
'Spanish','Family','brother', 'el hermano
'Spanish','Family','sister', 'la hermana 
'Spanish','Family','cousin', 'la prima / el primo
'Spanish','Dining','food', 'la comida
'Spanish','Dining','drinks', 'las bebidas
'Spanish','Dining','vegetables', 'las verduras
'Spanish','Dining','to cook', 'cocinar
'Spanish','Dining','I’m hungry', 'Tengo hambre
'Spanish','Dining','I’m thirsty', 'Tengo sed
'Spanish','Dining','breakfast', 'el desayuno
'Spanish','Dining','lunch', 'el almuerzo
'Spanish','Dining','dinner', 'la cena
'Spanish','Dining','What’s today’s special?', '¿Cuál es el plato del día?
'Spanish','Dining','What would you like to eat?', '¿Qué le gustaría comer?
'Spanish','Dining','Could I have the bill, please?', '¿Me puede traer la cuenta, por favor?
'Spanish','Dining','It’s very good', 'Está muy sabroso(a)
'Spanish','Dining','Enjoy (your meal)!', '¡Buen provecho!
'Spanish','Dining','Cheers!', '¡Salud!
'Spanish','Dining','sweet', 'dulce 
'Spanish','Dining','savory', 'salado(a)
'Spanish','Clothing','clothing', 'la prenda, la ropa
'Spanish','Clothing','shoes', 'los zapatos
'Spanish','Clothing','pants / trousers', 'el pantalón
'Spanish','Clothing','shirt / t-shirt', 'la camisa / la camiseta
'Spanish','Clothing','jacket', 'la chaqueta
'Spanish','Clothing','skirt', 'la falda
'Spanish','Clothing','sweater / jumper', 'el suéter
